               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.091277,            0.021342,            0.027179,             0.16438,             0.22955,            0.093685,            0.018009,            0.069061,            0.014672,            0.024694,            0.003285,            0.003285,            0.070435
                   1,            0.072699,            0.019332,            0.018849,             0.22926,             0.47636,              0.1933,            0.038424,            0.072855,             0.01001,           0.0081912,           0.0066053,           0.0066053,            0.040422
                   2,            0.067389,            0.015635,            0.010265,             0.42977,             0.74571,             0.62911,             0.21007,            0.061562,           0.0095181,           0.0056278,           0.0099123,           0.0099123,            0.010395
                   3,            0.058937,            0.013698,           0.0092916,             0.67185,             0.52926,             0.55603,             0.20192,            0.056645,           0.0084639,            0.018403,           0.0099406,           0.0099406,           0.0099406
                   4,             0.05053,            0.012394,           0.0076863,              0.7912,               0.814,             0.83476,             0.31114,            0.045615,           0.0069511,           0.0054113,           0.0099406,           0.0099406,           0.0099406
                   5,            0.045698,            0.011998,            0.007755,              0.9282,             0.82977,             0.91203,             0.40682,             0.04144,           0.0066291,           0.0038045,           0.0099208,           0.0099208,           0.0099208
                   6,            0.043744,            0.011361,           0.0054728,             0.90057,             0.88742,             0.93062,             0.41623,            0.039188,           0.0062692,           0.0030069,            0.009901,            0.009901,            0.009901
                   7,            0.041962,             0.01123,           0.0058059,             0.90708,              0.8923,             0.92693,              0.4488,            0.036771,           0.0060553,           0.0043026,           0.0098812,           0.0098812,           0.0098812
                   8,            0.041027,            0.010846,           0.0060549,             0.91029,             0.88875,             0.92308,             0.43069,            0.040307,           0.0061237,           0.0031862,           0.0098614,           0.0098614,           0.0098614
                   9,            0.039073,            0.010297,           0.0054619,             0.92324,             0.87699,             0.92722,             0.46011,            0.036799,           0.0062415,           0.0046511,           0.0098416,           0.0098416,           0.0098416
                  10,            0.038847,            0.010593,           0.0053549,             0.95054,             0.89543,             0.95124,             0.50437,            0.034713,           0.0059471,           0.0035143,           0.0098218,           0.0098218,           0.0098218
                  11,            0.038097,            0.010375,           0.0053817,              0.9348,             0.94364,             0.96874,             0.51721,            0.033963,           0.0059145,           0.0025884,            0.009802,            0.009802,            0.009802
                  12,            0.037979,            0.010302,           0.0052189,             0.94276,             0.91369,             0.95923,             0.50129,            0.035165,             0.00603,           0.0023851,           0.0097822,           0.0097822,           0.0097822
                  13,            0.036952,            0.010439,           0.0047205,              0.9472,             0.94979,             0.96824,             0.52799,              0.0329,           0.0055856,           0.0023954,           0.0097624,           0.0097624,           0.0097624
                  14,            0.037689,             0.01012,           0.0039961,             0.94467,             0.95288,              0.9675,             0.51889,            0.032731,           0.0056308,            0.002487,           0.0097426,           0.0097426,           0.0097426
                  15,            0.037066,            0.010048,           0.0050539,             0.94058,             0.94167,             0.97111,             0.49779,            0.033771,           0.0057631,           0.0022175,           0.0097228,           0.0097228,           0.0097228
                  16,            0.036017,           0.0099333,           0.0043624,             0.96771,             0.93656,             0.97883,             0.53878,            0.032997,           0.0055975,           0.0016511,            0.009703,            0.009703,            0.009703
                  17,            0.035722,             0.01019,            0.004067,             0.96516,             0.96543,             0.98206,             0.56177,            0.031021,           0.0054056,           0.0014959,           0.0096832,           0.0096832,           0.0096832
                  18,             0.03515,           0.0097115,           0.0040978,             0.93252,             0.95096,             0.96874,             0.51616,            0.033137,            0.005503,           0.0020209,           0.0096634,           0.0096634,           0.0096634
                  19,            0.035489,            0.009798,            0.004307,             0.95975,             0.93648,             0.97209,             0.55282,            0.031817,           0.0055841,           0.0020577,           0.0096436,           0.0096436,           0.0096436
