               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  35,            0.033802,           0.0095995,           0.0029784,             0.96789,             0.97499,             0.98929,             0.59332,            0.029532,           0.0053175,           0.0013482,            0.009439,            0.009439,            0.009439
                  36,            0.033931,           0.0096069,           0.0028451,             0.97042,             0.97068,             0.98849,             0.58481,            0.029909,           0.0052392,          0.00080918,           0.0094225,           0.0094225,           0.0094225
                  37,            0.033495,           0.0097757,           0.0030676,              0.9647,             0.97047,              0.9866,             0.60041,              0.0294,           0.0052303,          0.00082956,            0.009406,            0.009406,            0.009406
                  38,            0.033214,           0.0092555,            0.002797,             0.96276,             0.96583,             0.98716,             0.61347,            0.028474,           0.0052462,           0.0016482,           0.0093895,           0.0093895,           0.0093895
                  39,            0.032525,           0.0094209,           0.0027958,             0.96276,             0.98245,             0.98984,             0.59554,            0.029276,           0.0051512,          0.00089646,            0.009373,            0.009373,            0.009373
                  40,            0.032558,           0.0098086,            0.002932,             0.97332,             0.95373,             0.97874,              0.5734,            0.031017,           0.0055567,          0.00055039,           0.0093565,           0.0093565,           0.0093565
                  41,            0.032676,             0.00954,           0.0027061,              0.9781,             0.97615,             0.98889,             0.61122,             0.02874,           0.0051812,          0.00055943,             0.00934,             0.00934,             0.00934
                  42,            0.032857,           0.0095144,            0.002788,             0.97656,             0.98547,             0.99262,             0.60549,            0.028673,           0.0052646,          0.00071575,           0.0093235,           0.0093235,           0.0093235
                  43,            0.032461,           0.0093216,           0.0027242,             0.97492,             0.97837,             0.98878,             0.59207,            0.029181,           0.0052327,          0.00055629,            0.009307,            0.009307,            0.009307
                  44,            0.032819,           0.0096966,           0.0026931,             0.98295,             0.97259,             0.98852,             0.60228,            0.028958,           0.0052841,           0.0005441,           0.0092905,           0.0092905,           0.0092905
                  45,            0.031728,           0.0093606,           0.0031585,             0.97234,             0.97438,             0.98797,             0.61619,            0.028342,           0.0051262,          0.00082728,            0.009274,            0.009274,            0.009274
                  46,            0.031761,           0.0093327,           0.0026464,             0.97733,             0.97429,             0.99109,             0.60495,            0.029053,           0.0050844,           0.0010898,           0.0092575,           0.0092575,           0.0092575
                  47,            0.032006,           0.0093089,           0.0022558,             0.98477,             0.97313,             0.99151,             0.62583,             0.02767,           0.0050773,           0.0007401,            0.009241,            0.009241,            0.009241
                  48,            0.031337,           0.0097051,           0.0020846,             0.97754,             0.96159,             0.98914,             0.61409,            0.028088,           0.0053078,           0.0011734,           0.0092245,           0.0092245,           0.0092245
                  49,            0.031459,           0.0090627,           0.0026492,             0.96793,             0.95853,             0.98453,             0.62124,            0.027883,           0.0053449,          0.00090946,            0.009208,            0.009208,            0.009208
                  50,            0.031242,           0.0093416,           0.0026251,             0.97225,             0.98001,             0.99148,             0.61895,            0.027459,           0.0051665,          0.00063541,           0.0091915,           0.0091915,           0.0091915
                  51,            0.031315,           0.0090324,           0.0023089,             0.97973,             0.98021,             0.99247,             0.62028,            0.027697,            0.004987,          0.00054105,            0.009175,            0.009175,            0.009175
                  52,            0.031282,           0.0093133,           0.0024298,             0.96892,             0.97527,             0.98844,             0.61174,            0.027918,           0.0050627,           0.0010318,           0.0091585,           0.0091585,           0.0091585
                  53,            0.031234,           0.0092456,           0.0027163,             0.97687,             0.97868,              0.9917,             0.62876,            0.027068,           0.0049504,          0.00074626,            0.009142,            0.009142,            0.009142
                  54,            0.030358,           0.0084843,           0.0027488,             0.98306,             0.97482,             0.99166,             0.64396,            0.026631,           0.0049585,          0.00070643,           0.0091255,           0.0091255,           0.0091255
                  55,            0.030994,            0.008943,           0.0026423,             0.97824,             0.97781,             0.99117,             0.63611,            0.026815,           0.0050037,          0.00057652,            0.009109,            0.009109,            0.009109
                  56,             0.03007,           0.0090408,           0.0023385,             0.98591,             0.98582,             0.99109,             0.65431,            0.026615,           0.0048842,          0.00054035,           0.0090925,           0.0090925,           0.0090925
                  57,            0.030469,           0.0087845,           0.0020297,              0.9807,             0.98833,             0.99165,             0.63887,            0.026306,           0.0050496,          0.00057598,            0.009076,            0.009076,            0.009076
                  58,             0.03102,           0.0091482,           0.0023295,             0.97274,             0.98475,             0.99005,             0.65508,            0.026075,           0.0049187,          0.00071779,           0.0090595,           0.0090595,           0.0090595
                  59,             0.03034,           0.0088541,           0.0031014,             0.97684,              0.9822,             0.99163,             0.65887,            0.025195,           0.0049439,          0.00057577,            0.009043,            0.009043,            0.009043
                  60,            0.030622,            0.008594,           0.0020385,             0.98339,             0.98826,             0.99225,             0.65667,            0.025829,           0.0048524,          0.00031363,           0.0090265,           0.0090265,           0.0090265
                  61,            0.029717,            0.008572,           0.0022552,             0.98161,             0.99033,             0.99164,             0.66938,            0.025537,           0.0048036,          0.00047165,             0.00901,             0.00901,             0.00901
                  62,            0.029511,           0.0089888,           0.0020467,             0.98511,             0.98889,             0.99342,             0.67002,            0.024926,           0.0046637,          0.00040073,           0.0089935,           0.0089935,           0.0089935
