               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  35,            0.033361,           0.0095715,            0.003681,             0.94349,               0.959,             0.97781,             0.54385,             0.03234,            0.005469,           0.0017589,           0.0093268,           0.0093268,           0.0093268
                  36,            0.034233,           0.0095919,           0.0030763,             0.93065,             0.93598,             0.96854,             0.53895,            0.032086,           0.0059219,           0.0034276,            0.009307,            0.009307,            0.009307
                  37,            0.033315,           0.0098577,           0.0030203,             0.96629,             0.96879,              0.9857,             0.57627,            0.030605,           0.0055531,          0.00079072,           0.0092872,           0.0092872,           0.0092872
                  38,            0.033583,           0.0094534,           0.0029757,             0.96725,             0.97244,             0.98189,             0.58517,            0.029781,           0.0053426,           0.0010646,           0.0092674,           0.0092674,           0.0092674
                  39,            0.033307,           0.0095949,           0.0025459,             0.96738,             0.98025,              0.9915,             0.59938,            0.029032,            0.005241,          0.00089806,           0.0092476,           0.0092476,           0.0092476
                  40,            0.032526,           0.0098209,           0.0026139,             0.97457,             0.98736,              0.9919,             0.61972,            0.028318,           0.0051439,          0.00061777,           0.0092278,           0.0092278,           0.0092278
                  41,            0.032967,           0.0095383,           0.0027254,             0.97614,             0.98311,             0.99224,             0.61571,            0.028475,           0.0051173,          0.00064017,            0.009208,            0.009208,            0.009208
                  42,            0.032977,           0.0095911,           0.0028698,              0.9774,             0.96553,             0.98656,             0.58574,            0.029981,           0.0052955,           0.0011775,           0.0091882,           0.0091882,           0.0091882
                  43,             0.03257,           0.0093082,           0.0027619,             0.97583,             0.97842,             0.99174,             0.60889,            0.028569,           0.0052648,          0.00059594,           0.0091684,           0.0091684,           0.0091684
                  44,            0.032455,           0.0096032,           0.0025184,             0.96704,              0.9865,             0.99245,             0.61046,            0.028813,           0.0052226,          0.00055475,           0.0091486,           0.0091486,           0.0091486
                  45,            0.032669,           0.0093838,           0.0028982,             0.95751,             0.98807,             0.99106,             0.60265,            0.028296,           0.0051124,          0.00083269,           0.0091288,           0.0091288,           0.0091288
                  46,            0.031658,           0.0094926,           0.0027025,             0.97498,              0.9879,             0.99286,             0.61799,            0.028443,           0.0051055,          0.00051212,            0.009109,            0.009109,            0.009109
                  47,            0.031682,           0.0093317,           0.0024221,             0.96706,             0.97504,             0.98756,             0.60698,            0.028869,           0.0051383,          0.00082527,           0.0090892,           0.0090892,           0.0090892
                  48,            0.031774,           0.0096941,           0.0022274,             0.97061,             0.97998,             0.98885,             0.63101,            0.027285,            0.005032,          0.00063072,           0.0090694,           0.0090694,           0.0090694
                  49,            0.031167,           0.0089939,           0.0023908,             0.97097,               0.978,             0.98994,             0.60618,            0.029528,           0.0050747,          0.00078218,           0.0090496,           0.0090496,           0.0090496
                  50,            0.031384,           0.0092925,           0.0023173,             0.95232,             0.95013,              0.9684,             0.54834,            0.031932,           0.0056254,          0.00067063,           0.0090298,           0.0090298,           0.0090298
