               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  35,            0.031344,            0.009041,           0.0029294,             0.98676,              0.9907,             0.99411,             0.64398,            0.026264,           0.0047665,          0.00054639,           0.0096634,           0.0096634,           0.0096634
                  36,            0.030548,           0.0090267,           0.0021644,             0.98791,             0.99181,             0.99201,             0.64657,            0.026472,           0.0047898,          0.00036256,           0.0096535,           0.0096535,           0.0096535
                  37,            0.031138,           0.0088804,            0.002519,             0.98218,             0.98484,             0.99177,             0.61736,            0.027965,            0.004798,          0.00068033,           0.0096436,           0.0096436,           0.0096436
                  38,            0.030534,           0.0088126,           0.0025785,             0.98404,             0.98192,             0.99292,             0.64062,            0.026121,           0.0048708,          0.00071507,           0.0096337,           0.0096337,           0.0096337
                  39,            0.030133,           0.0087979,           0.0023925,             0.98029,             0.99066,             0.99194,             0.66373,            0.025016,           0.0046345,          0.00065578,           0.0096238,           0.0096238,           0.0096238
                  40,            0.030077,           0.0088436,           0.0025535,             0.98439,             0.98477,             0.99197,               0.658,            0.025249,            0.004685,          0.00065921,           0.0096139,           0.0096139,           0.0096139
                  41,            0.030033,           0.0086555,           0.0024314,             0.97007,             0.98229,             0.99023,             0.65285,            0.025613,           0.0046708,           0.0013815,            0.009604,            0.009604,            0.009604
                  42,            0.030425,           0.0089074,           0.0031471,             0.99022,             0.98647,             0.99253,             0.66443,            0.025235,            0.004654,          0.00077666,           0.0095941,           0.0095941,           0.0095941
                  43,            0.029945,           0.0085467,           0.0023112,             0.98264,             0.98895,             0.99338,             0.63488,            0.025899,           0.0046772,          0.00061142,           0.0095842,           0.0095842,           0.0095842
                  44,            0.029821,           0.0087056,            0.002923,              0.9875,             0.98493,             0.99133,             0.65179,            0.025405,           0.0045312,          0.00066385,           0.0095743,           0.0095743,           0.0095743
                  45,            0.029642,           0.0086074,           0.0021748,              0.9879,             0.99013,             0.99266,             0.66003,             0.02529,           0.0046338,          0.00033114,           0.0095644,           0.0095644,           0.0095644
                  46,            0.029354,           0.0085789,           0.0023296,             0.99147,             0.99415,             0.99313,              0.6921,            0.023886,           0.0044499,          0.00034912,           0.0095545,           0.0095545,           0.0095545
                  47,            0.029013,           0.0086495,           0.0025016,             0.98067,             0.98859,              0.9919,             0.66819,            0.024618,           0.0044861,          0.00054864,           0.0095446,           0.0095446,           0.0095446
                  48,            0.028448,           0.0085545,            0.002008,             0.98553,             0.98683,             0.99222,             0.68136,            0.023746,           0.0045031,          0.00052114,           0.0095347,           0.0095347,           0.0095347
                  49,            0.028796,           0.0086399,           0.0022439,             0.99089,             0.98912,             0.99365,             0.68614,            0.023303,           0.0044268,           0.0003227,           0.0095248,           0.0095248,           0.0095248
                  50,            0.028311,           0.0083517,           0.0020885,             0.99269,             0.99346,             0.99359,             0.69079,            0.023068,            0.004326,          0.00029195,           0.0095149,           0.0095149,           0.0095149
                  51,            0.028176,           0.0080838,           0.0021574,             0.98326,             0.98495,             0.99227,             0.67396,            0.024087,           0.0045126,          0.00048641,            0.009505,            0.009505,            0.009505
                  52,            0.027884,           0.0079267,           0.0018268,             0.98572,             0.98648,             0.99417,              0.6839,            0.023663,           0.0044035,           0.0003089,           0.0094951,           0.0094951,           0.0094951
                  53,            0.028127,            0.008243,           0.0016549,             0.99084,             0.98672,             0.99377,             0.68649,            0.023395,           0.0044716,          0.00037588,           0.0094852,           0.0094852,           0.0094852
                  54,            0.027302,           0.0080672,           0.0020778,             0.99151,             0.98926,             0.99447,             0.69429,            0.022995,           0.0042709,          0.00035425,           0.0094753,           0.0094753,           0.0094753
                  55,            0.027795,           0.0083442,           0.0020435,              0.9902,             0.99321,              0.9932,             0.70719,            0.022305,           0.0043286,          0.00034938,           0.0094654,           0.0094654,           0.0094654
                  56,            0.027077,           0.0080981,           0.0020669,             0.99313,             0.99488,             0.99426,             0.69684,            0.022647,           0.0043151,          0.00038463,           0.0094555,           0.0094555,           0.0094555
                  57,            0.026866,           0.0079358,           0.0022249,             0.99615,             0.99073,             0.99409,             0.70116,            0.022207,           0.0042739,          0.00032938,           0.0094456,           0.0094456,           0.0094456
                  58,            0.027338,            0.008142,           0.0020992,             0.99198,             0.99583,              0.9945,             0.70438,            0.022158,           0.0041878,          0.00033836,           0.0094357,           0.0094357,           0.0094357
                  59,            0.027608,           0.0081268,           0.0021946,              0.9869,              0.9948,             0.99246,             0.70967,            0.021726,           0.0041541,          0.00035272,           0.0094258,           0.0094258,           0.0094258
                  60,            0.027012,           0.0081355,             0.00207,             0.99191,             0.99242,             0.99405,             0.70354,            0.021864,           0.0041726,          0.00025813,           0.0094159,           0.0094159,           0.0094159
                  61,            0.026493,           0.0079793,           0.0020635,             0.99273,              0.9941,             0.99447,             0.72185,            0.021706,           0.0040779,          0.00036275,            0.009406,            0.009406,            0.009406
                  62,            0.026572,           0.0080094,           0.0021223,               0.995,             0.99249,             0.99409,             0.72939,            0.021031,           0.0041165,          0.00046667,           0.0093961,           0.0093961,           0.0093961
                  63,            0.026344,           0.0078944,            0.002025,             0.99423,             0.99465,             0.99475,             0.70465,            0.022199,           0.0040729,          0.00031137,           0.0093862,           0.0093862,           0.0093862
                  64,            0.025711,           0.0077621,           0.0019211,             0.98959,             0.99656,             0.99468,              0.7271,            0.021027,           0.0040566,          0.00031397,           0.0093763,           0.0093763,           0.0093763
                  65,            0.026981,           0.0078204,           0.0016754,              0.9927,             0.99385,              0.9941,             0.72157,            0.021299,           0.0040973,          0.00028105,           0.0093664,           0.0093664,           0.0093664
                  66,            0.026525,           0.0078418,            0.001961,              0.9907,             0.99152,             0.99439,              0.7231,            0.021399,           0.0040475,          0.00043635,           0.0093565,           0.0093565,           0.0093565
                  67,            0.026279,           0.0079999,           0.0016004,              0.9934,             0.99176,             0.99377,              0.7309,            0.020891,           0.0039949,          0.00035735,           0.0093466,           0.0093466,           0.0093466
                  68,            0.025463,           0.0077714,           0.0015894,             0.99163,             0.99334,             0.99395,             0.74218,            0.020379,           0.0039082,           0.0002977,           0.0093367,           0.0093367,           0.0093367
                  69,            0.025308,           0.0079354,           0.0017446,             0.99025,             0.99661,             0.99345,             0.73155,            0.020787,           0.0039102,          0.00029578,           0.0093268,           0.0093268,           0.0093268
