               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  35,            0.059504,            0.010795,           0.0045677,             0.35653,             0.59611,             0.33486,            0.066713,            0.068425,           0.0089482,           0.0031323,            0.008317,            0.008317,            0.008317
                  36,            0.057591,            0.010148,           0.0045813,             0.27819,             0.71817,             0.28726,            0.061461,            0.073208,           0.0091894,           0.0058609,           0.0082675,           0.0082675,           0.0082675
                  37,            0.060464,            0.010404,           0.0052126,             0.27233,             0.67835,              0.2734,            0.057012,            0.073778,            0.008771,           0.0064754,            0.008218,            0.008218,            0.008218
                  38,            0.053846,            0.010553,           0.0043623,               0.625,             0.60242,             0.57106,             0.17918,            0.065252,           0.0096773,           0.0022465,           0.0081685,           0.0081685,           0.0081685
                  39,            0.048091,            0.010214,           0.0044502,             0.54898,             0.63196,             0.53388,             0.13347,            0.063394,            0.010045,           0.0025179,            0.008119,            0.008119,            0.008119
                  40,            0.055533,            0.010923,           0.0041027,             0.27655,             0.58514,              0.2332,            0.052949,            0.077421,           0.0083102,            0.002389,           0.0080695,           0.0080695,           0.0080695
                  41,            0.055326,            0.010096,           0.0039337,             0.55166,             0.69236,             0.58356,             0.15668,            0.057382,           0.0080399,           0.0050417,             0.00802,             0.00802,             0.00802
                  42,            0.050189,            0.010461,           0.0029278,             0.59299,             0.59303,             0.52825,             0.13354,            0.064705,           0.0084884,           0.0053835,           0.0079705,           0.0079705,           0.0079705
                  43,            0.050243,           0.0097859,           0.0032933,             0.82633,             0.78349,              0.8241,             0.27706,            0.054565,           0.0074417,           0.0027007,            0.007921,            0.007921,            0.007921
                  44,            0.047051,            0.010152,           0.0035218,             0.67229,             0.73132,             0.63081,             0.17299,            0.055258,           0.0071877,           0.0039783,           0.0078715,           0.0078715,           0.0078715
                  45,            0.049312,           0.0092529,           0.0045723,               0.653,             0.83554,             0.68201,             0.18568,            0.051632,           0.0066827,           0.0040324,            0.007822,            0.007822,            0.007822
                  46,            0.052844,           0.0099421,           0.0033255,               0.554,             0.62576,             0.52263,             0.13486,            0.061736,           0.0067117,           0.0078731,           0.0077725,           0.0077725,           0.0077725
                  47,            0.050048,           0.0093819,           0.0037801,             0.60503,             0.73051,             0.63445,             0.17205,            0.053941,           0.0070303,           0.0094303,            0.007723,            0.007723,            0.007723
